Package,Version,Priority
tidyselect,1.1.1,
bslib,0.3.1,
purrr,0.3.4,
ggthemes,4.2.4,
sourcetools,0.1.7,
colorspace,2.0-2,
vctrs,0.3.8,
generics,0.1.2,
htmltools,0.5.2,
grDevices,3.6.1,base
utf8,1.2.2,
rlang,0.4.12,
later,1.3.0,
pillar,1.7.0,
jquerylib,0.1.4,
glue,1.5.1,
withr,2.5.0,
DBI,1.1.2,
lifecycle,1.0.1,
stringr,1.4.0,
munsell,0.5.0,
gtable,0.3.0,
fontawesome,0.2.2,
htmlwidgets,1.5.4,
labeling,0.4.2,
fastmap,1.1.0,
httpuv,1.6.3,
curl,4.3.2,
shinyWidgets,0.7.0,
fansi,0.5.0,
methods,3.6.1,base
Rcpp,1.0.7,
xtable,1.8-4,
readr,1.4.0,
promises,1.2.0.1,
scales,1.1.1,
DT,0.23,
cachem,1.0.6,
jsonlite,1.7.2,
farver,2.1.0,
mime,0.12,
ggplot2,3.3.6,
stats,3.6.1,base
datasets,3.6.1,base
graphics,3.6.1,base
hms,1.1.1,
digest,0.6.29,
stringi,1.7.6,
wbstats,1.0.4,
dplyr,1.0.7,
shiny,1.7.1,
grid,3.6.1,base
tools,3.6.1,base
magrittr,2.0.1,
sass,0.4.0,
shinythemes,1.2.0,
tibble,3.1.6,
crayon,1.5.1,
tidyr,1.1.3,
pkgconfig,2.0.3,
ellipsis,0.3.2,
rsconnect,0.8.26,
data.table,1.14.2,
utils,3.6.1,base
assertthat,0.2.1,
base,3.6.1,base
httr,1.4.3,
rstudioapi,0.13,
R6,2.5.1,
compiler,3.6.1,base
